#OTU Table	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
sp215	77	115	41	56	0	96	0	29	0	0	0	110	111	0	0	0	0	0	0	0	0	0	0	0	0	0
sp216	0	0	0	2	0	0	0	0	101	0	3	4	0	7	0	2	0	0	109	0	42	0	0	0	0	21
sp217	0	0	0	0	0	44	8	0	0	0	0	51	0	102	0	0	0	0	0	0	0	0	23	32	0	0
sp218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp219	0	0	0	19	0	0	0	0	0	0	27	0	0	0	0	0	0	0	15	0	0	0	0	0	14	0
sp220	0	0	26	0	0	20	28	36	16	0	20	22	29	0	46	54	0	0	0	28	48	0	22	21	0	21
sp221	0	0	29	74	0	0	0	7	52	44	43	0	0	24	12	42	0	0	42	13	14	52	54	64	0	6
sp224	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	59	0	0	0	0	40	0	0	0	18	40
sp225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp228	33	40	0	0	33	28	0	32	0	0	0	60	0	45	0	36	0	0	0	0	0	0	0	0	0	0
sp229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	257	0	0	74	0	0
sp230	0	0	0	0	52	36	32	0	0	0	0	47	73	0	0	0	0	0	0	0	0	0	0	58	0	0
sp232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp233	3	8	16	19	14	19	0	27	22	9	13	7	5	54	17	32	0	0	0	19	25	19	0	15	29	0
sp234	0	0	0	0	0	0	0	0	0	0	30	0	0	70	0	0	0	0	0	0	0	0	0	0	0	24
sp235	0	0	63	58	0	0	0	21	4	6	64	0	0	1	47	16	0	0	68	12	13	83	19	20	0	17
sp240	0	0	0	0	0	0	0	0	0	0	0	0	0	127	46	116	0	0	0	0	0	0	0	0	0	0
sp241	7	11	16	24	20	20	9	15	20	17	24	0	22	43	33	32	0	0	17	13	15	10	20	0	8	30
sp242	0	9	0	86	0	0	0	0	0	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp243	18	20	14	14	27	10	24	29	0	0	10	14	11	35	0	18	0	0	0	14	0	17	8	18	18	26
sp244	0	0	76	55	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
sp246	7	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	27	0	69
sp247	0	0	0	0	0	0	0	0	0	0	0	0	0	251	115	72	0	0	0	0	0	0	0	0	27	0
sp248	23	18	0	0	0	0	0	18	24	0	22	9	264	0	0	0	0	0	0	0	21	13	0	0	55	133
sp249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	62
sp250	0	0	15	20	19	0	0	41	20	15	26	7	0	50	32	28	0	0	0	16	27	20	0	7	0	0
sp252	0	54	44	21	22	71	56	65	0	39	50	7	16	24	45	42	0	0	0	0	23	0	0	0	0	0
sp253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp254	0	0	0	50	66	0	22	0	35	68	34	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp255	20	3	21	22	33	22	1	27	22	2	8	3	6	5	31	10	0	0	8	17	1	2	21	7	35	22
